timestamp_ms,satellite_id,temperature_c,battery_percent,status,payload_len,payload_hex
1787253041416,42,20.097,100,NOMINAL,32,"ed 1d 11 5e b5 8c 20 e4 d2 1a ea 5c 83 94 0b eb e2 f5 b4 71 2d 41 ce f5 59 fc 43 51 9b e9 62 f7"
1787253041616,42,27.2477,99,NOMINAL,32,"84 9c 96 7a 93 a9 f9 67 99 25 46 41 32 61 11 db 5e 03 43 c4 e7 b7 82 ac 88 28 ec df 60 11 d6 ba"
1787253041816,42,22.0829,98,NOMINAL,32,"91 61 b9 e0 b6 6b d4 2b 75 77 01 9f b3 e4 1d 77 db 48 b5 f5 ce 99 fa 8c 71 9b 15 65 b9 f3 44 91"
1787253042016,42,17.9225,97,NOMINAL,32,"56 17 df 82 e5 03 7d 67 be b4 ed d6 ba c3 a9 88 32 ec 3a fe 2a df ea b6 de 16 6d 82 f5 e5 b1 f3"
1787253042216,42,21.7949,96,WARNING,32,"c8 d3 81 49 be ec d4 c4 36 f9 ec f6 fd 7b 3b 55 c4 3d b9 2a b7 18 e5 ae 63 7a ff 0f a1 77 c1 39"
1787253042416,42,20.5866,95,NOMINAL,32,"f3 0e 36 f0 87 71 84 fd ab 6f 86 46 31 6f 7b fd 45 e6 9f a7 43 44 37 b1 3f f7 c3 69 de b5 89 45"
1787253042616,42,20.4458,94,NOMINAL,32,"ac 96 a3 e8 9f ac 13 dd f2 89 6f 0b e4 19 af 3b 2f 47 a6 6b 95 34 64 53 7e 32 66 ab 9f 30 75 97"
1787253042816,42,17.2466,93,NOMINAL,32,"68 1c a4 e1 ad 29 c1 f1 cd d6 a8 d2 8e 24 7b 57 49 20 1b cd 28 8d 07 12 74 ac 6d 59 33 64 34 ad"
1787253043016,42,22.1472,92,NOMINAL,32,"2b 2f 66 06 b6 78 cf c5 45 fb a7 47 07 b3 5a b6 bc 3e 0e d5 04 0f 05 3c cd b4 29 cf 79 8b d7 3b"
1787253043216,42,29.2205,91,NOMINAL,32,"ba fd 41 09 eb b1 c8 e3 7c 30 2e a8 80 d4 56 99 b0 67 93 f1 6c 70 21 05 fe 5a 80 51 3a d5 85 bc"
1787253043416,42,27.3536,90,NOMINAL,32,"c5 a9 3c 2e f1 15 cb da 89 11 70 94 cc 4d d6 91 48 f8 50 a3 da 00 dd f7 22 c1 b4 6d 44 82 b8 3d"
1787253043616,42,17.2288,89,NOMINAL,32,"b3 9e fd 40 da 99 ff 42 81 c2 6a 40 6b f0 ee 16 e0 e0 76 7e 7e 33 21 a6 e3 61 7c 8a 76 b8 bf f6"
1787253043816,42,22.425,88,NOMINAL,32,"99 48 66 78 45 2f db 22 be ff ab 41 0d 14 41 54 d8 48 cf a7 92 44 75 c9 5b 8b 42 9d 66 86 8e 29"
1787253044016,42,24.9877,87,NOMINAL,32,"75 9b 4c 4a 84 62 56 80 83 b4 61 eb b6 ab d3 8c b0 20 77 7a 47 62 ca 49 02 7d 12 28 5d b7 e6 98"
1787253044216,42,24.1442,86,NOMINAL,32,"84 02 2b ee 2e 1f 08 6f d9 32 1c 6f 03 7a 81 b3 3c e6 e7 a3 9c 51 e8 8c ea 6b 14 bf 30 79 4c 48"
1787253044416,42,25.8468,85,NOMINAL,32,"37 70 99 e6 64 77 47 73 df d1 be f2 64 9d 5f 0e 29 c4 19 ab 68 4f 4b 4e a9 e2 d6 cb 64 18 a8 fa"
1787253044616,42,25.9079,84,NOMINAL,32,"7f 4f cf 47 b1 14 c3 63 83 ed 00 bd 55 47 87 51 51 13 f8 e8 27 b1 33 23 37 8c b6 2a 4c 08 3e cb"
1787253044816,42,23.4715,83,NOMINAL,32,"62 e1 1e 1f 1d f0 c5 bd 7e fd 90 3f 4a 3f d9 69 cc 29 7b fd 6b 71 b2 a4 47 6d 5f 9d aa 08 d6 77"
1787253045016,42,22.3451,82,NOMINAL,32,"b9 d7 37 66 75 48 d0 b2 ea 42 22 b3 fe 88 2c e8 0b 45 a5 87 3a 36 bc c2 8f e8 be 3f f4 68 ce 00"
1787253045216,42,18.6279,81,NOMINAL,32,"99 d1 44 e8 a9 fd f4 5f 95 61 67 bb 5e ec a2 f4 d3 9f a7 36 6a 3e 1e 2e 74 50 fd e4 3b cd a5 65"
